,Categorías o Motivos de Ingreso en la UCI,
,Ejemplos de uso,
,,
,CATEGORIA,EJEMPLOS DE DIAGNOSTICOS PARA LA CATEGORIA
,1. RESPIRATORIO,"Respiratorio, vía aérea superior (VAS)"
,,–Atresia o estenosis de coanas          –Epiglotitis
,,"–Aspiración de cuerpo extraño           –Laringotraqueobronquitis, croup"
,,–Apnea obstructiva del sueño             –Pierre Robin
,,–Absceso retro faríngeo                       –Hemangioma subglótico
,,–Estenosis subglótica                         –Traqueitis
,,"–Obstrucción de la VAS , otra            – Infección de la VAS, otra"
,,– Parálisis de cuerdas vocales
,,"Respiratorio, vía aérea inferior"
,,–Asma
,,–Bronquiolitis
,,"–Enfermedad pulmonar crónica, incluyendo broncodisplasia."
,,–Malasia y/o bronquial
,,–Masa mediastinal
,,–Estenosis traqueal o bronquial
,,–Fistula traqueo -esofágica
,,–Anillo vascular
,,"Respiratoria, otra"
,,–Síndrome de perdida aérea                      
,,–Apnea central
,,–Síndrome de distress respiratorio agudo  
,,–Aspiración
,,–Quilotorax                        
,,–Hernia diafragmática congénita
,,–Anomalía pulmonar congénita           
,,–Fibrosis quística
,,–Empiema                          
,,–Hipo ventilación central
,,"–Infección de la vía aérea inferior, otra      "
,,–Absceso de pulmón
,,–Síndrome coqueluchoide            
,,–Derrame pleural
,,– Neumonía o neumonitis               
,,–Trasplante pulmonar previo
,,–Hipoplasia Pulmonar                  
,,–Edema Pulmonar
,,–Insuficiencia Respiratoria
,2. CARDIOLOGICO,– Insuficiencia cardiaca                         –Tumor cardiaco
,,– Miocardiopatía                                   –Arritmia supraventricular
,,– Arritmia ventricular                             –Endocarditis
,,– Hipertensión pulmonar                        –Hipertensión  sistémica
,,– Enfermedad de Kawasaki                   –Derrame pericárdico 
,,– Trasplante cardiopulmonar previo        –Taponamiento
,,– Trasplante cardiaco previo                  –Trombosis vascular
,,– Vasculitis
,3. NEUROLOGICO,- Botulismo                                                            –Absceso cerebral
,,–Malformación AV cerebral                                    –Muerte cerebral
,,–Tumor cerebral                                                    –Aneurisma cerebral
,,–Disfunción o infección de shunt de LCR                –Encefalitis
,,"–Encefalopatía aguda, hipoxia, isquémica           "
,,"–Encefalopatía aguda, otra"
,,–Encefalopatía crónica degenerativa (Ej. enfermedad de Leigh)  
,,–Hidrocefalia
,,–Encefalopatía crónica no evolutiva (Ej. Parálisis cerebral )        
,,–Síndrome de Guillain-Barre 
,,"–Hemorragia intracraneal , espontanea"
,,–Hipertensión endocraneal
,,–Meningitis
,,–Mielomeningocele espina bífida
,,–Distrofia Muscular                                       
,,–Miastenia gravis
,,–Miopatía                           
,,–Neuropatía
,,–Convulsiones                
,,–Lesión de la medula espinal
,,–Trombosis de seno venoso
,4. POSTQUIRURGICO,–Procedimiento diagnostico invasivo        
,,"–Post-procedimiento, otra                      "
,,–Complicación anestésica
,,"–Cateterismo cardiaco, diagnostico         "
,,"–Cateterismo cardiaco, intervencional"
,,"–Cardiocirugia, cerrada"
,,–Cirugía torácica                 
,, –Neurocirugía
,,"–Cirugía de nariz, garganta y oídos    "
,,–Cirugía abdominal/general
,,–Cirugía craneofacial            
,,–Cirugía ortopédica
,,- Otro tipo de procedimiento quirúrgico
,5. CAUSA EXTERNA,– Anafilaxia                                           – Quemadura
,,– Intoxicación por monóxido                 – Electrocución
,,– Toxicidad por drogas iatrogénica       – Envenenamiento
,,– Ahorcamiento o estrangulamiento     – Golpe de calor
,,– Hipotermia                                         – Casi ahogamiento
,,– Inhalación de humo                           – Inmersión
,,"– Trauma, otros                                    – Trauma abdominal"
,,– Trauma torácico                                – Trauma facial
,,– Trauma de cráneo                             – Trauma esquelético
,,– Trauma espinal. 
,10. OTROS,–Paro cardiorespiratorio intrahospitalario
,,–Paro cardiorespiratorio extrahospitalario
,,-ALTE ( Acute Life Threatening Event)
,,–Anomalía cromosómica
,,–Coagulopatia
,,–Craneoestenosis
,,–Deshidratación
,,–Diabetes insípida
,,–Diabetes mellitus con cetoacidosis
,,–Diabetes mellitus sin cetoacidosis
,,–Trastornos electrolíticos
,,–Trastornos endocrinos
,,–Gangrena gaseosa
,,–Trastornos hematológicos
,,–Hipoglucemia
,,–Monitoreo diagnostico electivo en UCIP
,,–Procedimiento en UCIP (Ej. Inserción de CVC )
,,"–Inmunodeficiencia, congénita"
,,"–Inmunosupresión, adquirida"
,,–Error innato del metabolismo
,,–Leucemia o linfoma
,,–Fascitis necrotizante
,,– Neutropenia
,,– Donante de órganos
,,– Pancitopenia
,,–Feocromocitoma
,,–Trasplante de medula ósea previa
,,–Paro respiratorio intrahospitalario
,,–Paro respiratorio extrahospitalario
,,–Sepsis
,,"–Shock, cardiogénico"
,,"–Shock, hipovolémico"
,,"–Shock, séptico"
,,– Síndrome de respuesta inflamatoria sistémica
,,"– Neoplasia solida, maligna (no linfoma)"
,,"– Neoplasia solida, no maligna "
,,– Síndrome o malformación (no cromosómica)
,,– Síndrome de shock toxico
,,– Trasplante de medula ósea
,,– Síndrome de lisis tumoral
,,– Infección de herida
,,– Otros motivos médicos no descritos anteriormente
